THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,
WEIGHT,,,,,,,,,,,,,,,
308665,Dhaka,Shariatpur,Naria,100,0,0,6.793931581,2.886115555,0.686007641,4.372460597,,2.498348334,2.517825715,,
308669,Dhaka,Shariatpur,Shariatpur Sadar,101,0,0,7.279878475,3.396149121,0,0,,1.17505735,0.956376811,,
308694,Dhaka,Shariatpur,Zanjira,102,0.305943571,18.57625432,8.091925057,4.248445986,0.706836148,4.505216882,,8.792487255,9.944745754,,
400108,Khulna,Bagerhat,Bagerhat Sadar,103,0,0,11.45755269,7.780895902,0,0,,2.692166508,2.746526115,,
400114,Khulna,Bagerhat,Chitalmari,104,0,0,10.53675663,6.814459231,0.230171276,1.467060678,,2.860986522,2.945729335,,
400134,Khulna,Bagerhat,Fakirhat,105,0,0,11.81313386,8.154101976,0,0,,2.821294684,2.898894,,
400138,Khulna,Bagerhat,Kachua,106,0,0,10.85334695,7.146741816,0.274960092,1.75253466,,3.073873331,3.196930227,,
400156,Khulna,Bagerhat,Mollahat,107,0,0,10.8680282,7.162150764,0.08669787,0.552593,,2.66762285,2.717565237,,
400158,Khulna,Bagerhat,Mongla,108,0.562220857,34.1368756,15.32449619,11.83951014,0.670864844,4.275943766,,16.17970649,18.6614721,,
400160,Khulna,Bagerhat,Morrelganj,109,0,0,12.05290518,8.405757914,2.446978331,15.59649732,,8.257990692,9.314053728,,
400173,Khulna,Bagerhat,Rampal,110,0,0,12.11782955,8.473900355,0.415610768,2.649010883,,3.840558977,4.101599326,,
400177,Khulna,Bagerhat,Sarankhola,111,0.659448,40.04030455,15.19809971,11.70684864,4.861591502,30.98670628,,27.13161543,31.58443948,,
404104,Khulna,Jessore,Abhaynagar,112,0,0,12.75627258,9.143988753,0.000693097,0.004417647,,3.165307782,3.304820498,,
404109,Khulna,Jessore,Bagher Para,113,0,0,13.29349843,9.707842992,0,0,,3.358884388,3.533235853,,
404111,Khulna,Jessore,Chaugachha,114,0,0,14.26051351,10.7227896,0,0,,3.710052851,3.947605496,,
404123,Khulna,Jessore,Jhikargachha,115,0,0,13.96569045,10.4133532,0,0,,3.602988791,3.821272692,,
404138,Khulna,Jessore,Keshabpur,116,0,0,13.53400767,9.960273426,0,0,,3.446224557,3.636294978,,
404147,Khulna,Jessore,Kotwali,117,0,0,13.59480217,10.0240813,0.000656858,0.004186667,,3.469737921,3.664040135,,
404161,Khulna,Jessore,Manirampur,118,0,0,13.6542914,10.0865192,0,0,,3.489905212,3.687837014,,
404190,Khulna,Jessore,Sharsha,119,0,0,14.34209668,10.80841656,0,0,,3.739679521,3.982564195,,
404712,Khulna,Khulna,Batiaghata,120,0,0,12.56020891,8.938206899,0.357670382,2.279711709,,3.874537426,4.141693011,,
404717,Khulna,Khulna,Dacope,121,0,0,15.26968736,11.78198463,2.490930279,15.87663729,,9.522243415,10.80583902,,
404730,Khulna,Khulna,Dighalia,122,0,0,11.80621074,8.146835701,0.000255555,0.001628851,,2.819339273,2.896586666,,
404740,Khulna,Khulna,Dumuria,123,0,0,13.05093839,9.453260107,0.133466893,0.850688383,,3.56258697,3.773599595,,
404753,Khulna,Khulna,Koyra,125,0,0,15.40719133,11.92630419,4.810834454,30.66319211,,14.64398977,16.84936636,,
404764,Khulna,Khulna,Paikgachha,126,0,0,13.39940005,9.818993782,0.791594539,5.045448073,,5.127939078,5.620674324,,
404769,Khulna,Khulna,Phultala,127,0,0,12.41483357,8.785625816,0.000199339,0.001270543,,3.040235826,3.157238846,,
404775,Khulna,Khulna,Rupsa,128,0,0,11.67611499,8.010291564,0.018042216,0.114997084,,2.810980901,2.886724005,,
404794,Khulna,Khulna,Terokhada,129,0,0,11.59355867,7.923643218,0,0,,2.741556649,2.804805195,,
406528,Khulna,Narail,Kalia,130,0,0,11.82345595,8.164935695,0.52713087,3.359815286,,3.977465197,4.2631451,,
406552,Khulna,Narail,Lohagara,131,0,0,12.20279691,8.563079248,0.043592735,0.277850427,,3.058102732,3.178321331,,
406576,Khulna,Narail,Narail Sadar,132,0,0,12.47022074,8.843758333,0.000661234,0.004214559,,3.061359303,3.182164,,
408704,Khulna,Satkhira,Assasuni,133,0,0,13.94029714,10.38670123,0.292733508,1.865818473,,4.233746046,4.565549829,,
